movie_id,viewing_count,average_user_rating,unique_users,genre,rating,votes,runtime,release_year,revenue
1,6,3.17,6,Horror,9.3,38120,139,2004,402.83
2,10,2.8,10,Drama,7.17,37040,97,2016,428.81
3,5,2.8,5,Drama,7.17,43722,100,2004,411.36
4,9,3.11,9,Comedy,8.29,52373,113,2018,46.55
5,13,3.69,13,Sci-Fi,8.73,91669,98,2020,195.66
6,16,3.44,16,Action,3.28,77113,136,2022,151.16
7,5,3.8,5,Action,4.45,345,129,2018,349.53
8,16,2.56,16,Action,5.53,24413,150,2001,159.45
9,18,2.94,18,Horror,3.73,83038,138,2020,416.96
10,24,3.08,24,Action,6.55,39386,149,2022,484.18
11,19,2.95,19,Horror,8.41,69583,106,2005,240.98
12,7,2.86,7,Action,2.18,68402,124,2011,75.65
13,13,2.54,13,Horror,7.56,25437,95,2010,272.54
14,9,2.89,9,Drama,3.71,46495,107,2011,106.14
15,13,2.77,13,Sci-Fi,4.48,67829,168,2007,63.95
16,6,3.5,6,Sci-Fi,7.11,24978,104,2015,81.67
17,11,3.36,11,Action,5.36,45660,179,2006,46.83
18,18,2.94,18,Comedy,6.15,34314,145,2017,61.8
19,10,2.6,10,Sci-Fi,4.55,59407,173,2021,333.36
20,13,2.92,13,Sci-Fi,6.74,97264,100,2000,37.23
21,18,3.39,18,Sci-Fi,8.07,97322,125,2019,317.35
22,16,2.62,16,Action,8.2,39645,101,2024,366.95
23,12,2.5,12,Sci-Fi,8.46,53603,178,2008,204.87
24,15,3.53,15,Horror,1.07,57208,111,2001,214.14
25,15,2.73,15,Comedy,7.18,77708,140,2022,168.47
26,13,3.46,13,Sci-Fi,5.59,11929,158,2015,188.58
27,12,3.5,12,Drama,9.2,87378,102,2021,380.13
28,10,2.5,10,Sci-Fi,7.88,47004,168,2010,260.13
29,10,2.8,10,Drama,6.74,87191,95,2002,108.67
30,14,2.86,14,Drama,6.47,80243,169,2025,249.9
31,7,3.29,7,Action,3.12,24346,94,2010,125.27
32,12,3.17,12,Sci-Fi,9.98,50248,107,2003,214.59
33,13,3.23,13,Horror,3.65,7643,96,2022,28.68
34,13,3.0,13,Sci-Fi,5.16,33613,164,2003,219.48
35,9,1.89,9,Drama,1.76,6444,92,2010,39.52
36,11,2.73,11,Drama,5.9,8806,171,2005,154.91
37,12,2.75,12,Drama,7.45,28122,156,2011,339.98
38,11,2.82,11,Sci-Fi,8.72,23059,114,2002,290.22
39,9,2.11,9,Horror,5.33,84537,114,2007,288.35
40,18,2.94,18,Drama,5.23,42781,98,2001,191.47
41,10,3.1,10,Comedy,8.52,5006,133,2007,202.04
42,13,3.31,13,Action,7.78,46334,153,2004,267.91
43,14,2.93,14,Sci-Fi,4.52,72847,129,2024,264.94
44,9,3.44,9,Comedy,1.97,85451,147,2017,447.9
45,6,3.33,6,Comedy,1.09,32360,109,2018,407.37
46,16,2.88,16,Comedy,1.98,42606,87,2022,487.7
47,13,2.77,13,Drama,3.33,32151,145,2014,486.4
48,13,3.15,13,Drama,2.63,41866,148,2004,341.47
49,9,3.67,9,Action,1.31,12413,124,2001,396.23
50,10,2.2,10,Action,2.28,16796,176,2019,95.48
51,12,3.0,12,Action,1.17,2657,130,2001,240.29
52,15,3.27,15,Comedy,8.18,99776,142,2003,200.62
53,7,2.71,7,Drama,9.28,7318,125,2009,334.73
54,15,3.2,15,Action,8.82,5740,121,2020,177.8
55,13,3.08,13,Sci-Fi,6.25,26407,132,2014,494.69
56,15,2.2,15,Drama,9.63,21224,121,2020,490.2
57,7,3.43,7,Drama,5.16,45956,106,2016,80.73
58,15,2.8,15,Comedy,6.58,67793,111,2011,246.65
59,9,3.22,9,Comedy,9.53,94425,176,2011,317.01
60,13,3.15,13,Horror,6.1,42993,164,2007,200.32
61,8,3.5,8,Comedy,7.52,53237,129,2001,320.98
62,9,2.22,9,Drama,6.76,36766,149,2018,224.8
63,11,3.45,11,Comedy,7.21,72622,155,2024,238.5
64,8,3.62,8,Sci-Fi,7.2,60830,169,2008,175.26
65,18,3.06,18,Sci-Fi,9.81,31563,131,2024,59.25
66,12,3.33,12,Sci-Fi,8.09,57884,120,2023,82.99
67,14,2.57,14,Action,6.11,20930,87,2003,36.02
68,12,2.83,12,Sci-Fi,2.83,24217,129,2015,361.06
69,17,2.82,17,Action,5.0,45872,176,2022,364.89
70,15,2.73,15,Horror,9.14,80988,92,2022,349.7
71,12,3.0,12,Comedy,7.12,11639,104,2007,10.96
72,10,2.7,10,Sci-Fi,8.3,45530,164,2011,150.02
73,13,3.23,13,Horror,7.12,9192,130,2017,204.05
74,9,3.56,9,Sci-Fi,6.11,53369,176,2017,493.08
75,14,2.93,14,Action,4.3,14187,110,2012,1.95
76,12,2.83,12,Action,9.45,51807,82,2007,172.05
77,16,2.81,16,Horror,5.77,20328,167,2019,430.89
78,14,3.21,14,Horror,1.71,31281,108,2002,31.24
79,10,2.5,10,Sci-Fi,3.1,10408,143,2010,329.6
80,19,2.47,19,Sci-Fi,9.45,95405,174,2008,328.71
81,12,3.0,12,Drama,7.94,47092,152,2021,2.38
82,12,2.75,12,Action,9.43,15088,169,2003,10.64
83,15,3.07,15,Comedy,7.95,93359,157,2000,488.05
84,20,3.1,20,Comedy,1.02,47002,130,2002,224.94
85,8,2.75,8,Horror,4.87,84322,111,2025,18.91
86,16,2.88,16,Sci-Fi,1.82,32443,164,2017,271.37
87,13,3.31,13,Comedy,1.85,38444,99,2006,499.04
88,9,3.0,9,Comedy,4.57,17883,85,2011,3.6
89,13,2.77,13,Sci-Fi,6.59,14771,156,2025,270.0
90,15,3.0,15,Drama,1.63,83162,180,2024,225.63
91,9,3.0,9,Horror,1.23,24965,99,2017,439.78
92,11,3.36,11,Horror,1.22,43667,102,2021,276.69
93,17,2.88,17,Horror,3.69,65180,161,2007,66.27
94,10,2.9,10,Comedy,2.87,92590,129,2000,266.45
95,9,2.89,9,Drama,5.36,54774,169,2016,216.24
96,11,3.0,11,Sci-Fi,9.73,56104,141,2025,89.87
97,16,2.62,16,Comedy,5.07,46180,151,2018,309.04
98,10,3.2,10,Drama,4.78,41372,151,2025,10.8
99,10,3.1,10,Horror,1.15,32933,81,2009,377.9
