date,average_user_rating,rating_count
2026-07-16,2.83,135
2026-07-17,2.92,420
2026-07-18,2.88,406
2026-07-19,3.14,406
2026-07-20,3.09,446
2026-07-21,3.04,420
2026-07-22,3.07,405
2026-07-23,3.0,433
2026-07-24,3.0,422
2026-07-25,2.93,387
2026-07-26,2.9,444
2026-07-27,3.05,430
2026-07-28,2.87,397
2026-07-29,2.92,402
2026-07-30,3.05,428
2026-07-31,2.95,424
2026-08-01,3.14,391
2026-08-02,2.94,441
2026-08-03,2.95,449
2026-08-04,2.99,427
2026-08-05,2.99,413
2026-08-06,3.08,425
2026-08-07,2.95,403
2026-08-08,3.0,398
2026-08-09,3.16,406
2026-08-10,2.89,457
2026-08-11,3.05,419
2026-08-12,2.86,417
2026-08-13,3.12,417
2026-08-14,2.99,438
2026-08-15,2.94,289
