user_id,total_views,average_rating,unique_movies
1,16,2.75,16
2,10,2.7,10
3,18,3.17,18
4,7,2.86,7
5,8,3.5,8
6,8,3.25,8
7,8,3.75,8
8,13,3.69,13
9,5,3.8,5
10,14,2.79,14
11,18,3.17,18
12,6,3.67,6
13,9,3.11,9
14,15,3.13,15
15,11,3.36,11
16,19,2.95,19
17,10,2.8,10
18,9,3.11,9
19,19,2.53,19
20,11,3.55,11
21,7,2.86,7
22,16,2.94,16
23,16,2.94,16
24,15,2.8,15
25,11,3.27,11
26,6,3.5,6
27,19,3.0,19
28,5,3.4,5
29,14,2.29,14
30,14,3.07,14
31,11,2.91,11
32,11,2.45,11
33,10,3.3,10
34,12,2.83,12
35,7,3.43,7
36,11,2.27,11
37,19,3.32,19
38,17,3.24,17
39,14,2.79,14
40,10,3.3,10
41,6,3.5,6
42,11,3.55,11
43,10,3.7,10
44,17,2.88,17
45,8,3.12,8
46,16,2.62,16
47,19,2.95,19
48,5,1.2,5
49,9,3.78,9
50,18,2.61,18
51,16,2.69,16
52,17,2.94,17
53,9,3.56,9
54,6,2.5,6
55,8,3.25,8
56,10,3.2,10
57,12,3.42,12
58,8,2.75,8
59,19,2.68,19
60,17,2.41,17
61,12,3.25,12
62,9,3.44,9
63,13,2.77,13
64,17,2.88,17
65,8,3.0,8
66,18,3.0,18
67,20,3.25,20
68,12,3.67,12
69,16,3.94,16
70,20,3.25,20
71,5,3.2,5
72,13,3.46,13
73,7,2.14,7
74,12,3.33,12
75,17,3.18,17
76,17,3.41,17
77,7,1.71,7
78,14,3.14,14
79,13,2.92,13
80,12,2.42,12
81,10,2.6,10
82,17,2.82,17
83,17,2.59,17
84,12,3.08,12
85,11,3.73,11
86,12,2.58,12
87,14,3.57,14
88,17,3.59,17
89,17,3.12,17
90,17,2.59,17
91,5,3.6,5
92,14,3.0,14
93,15,2.93,15
94,18,2.72,18
95,20,2.75,20
96,19,2.68,19
97,15,3.4,15
98,5,4.6,5
99,15,2.47,15
100,13,3.38,13
101,12,3.17,12
102,17,3.0,17
103,10,3.8,10
104,18,3.44,18
105,14,2.86,14
106,14,3.0,14
107,10,2.9,10
108,12,3.5,12
109,16,3.38,16
110,10,3.1,10
111,19,3.21,19
112,12,3.25,12
113,20,3.05,20
114,10,3.3,10
115,5,2.6,5
116,17,3.41,17
117,9,3.56,9
118,15,2.87,15
