movie_id,rating,votes,runtime,release_year,revenue,genre,viewing_count,average_user_rating
1,8.9,50325,127,2016,332.62,Horror,12,2.5
2,2.72,79940,83,2019,181.28,Horror,16,3.44
3,7.43,36207,135,2018,218.06,Horror,9,2.56
4,1.13,37539,166,2020,391.75,Action,12,3.08
5,2.32,79798,120,2016,12.73,Drama,16,2.94
6,2.42,15530,84,2011,37.21,Comedy,14,3.0
7,6.06,54592,161,2018,431.3,Action,7,3.14
8,5.75,18558,176,2004,113.77,Sci-Fi,11,2.91
9,2.75,57485,179,2024,397.22,Comedy,12,3.58
10,1.34,70647,116,2019,258.58,Drama,8,2.88
11,9.67,42303,136,2014,203.92,Drama,11,3.27
12,5.08,40872,120,2023,266.45,Action,7,2.43
13,9.33,81747,121,2015,234.07,Comedy,13,3.23
14,3.85,87855,82,2019,165.71,Drama,20,3.05
15,2.7,50047,137,2000,141.61,Sci-Fi,10,2.6
16,1.79,79126,83,2002,411.19,Sci-Fi,14,2.86
17,5.97,12935,115,2001,494.22,Action,11,3.18
18,4.04,13427,88,2005,442.32,Drama,16,3.06
19,4.72,11987,174,2015,341.33,Horror,14,2.86
20,9.06,66239,94,2003,92.1,Horror,10,2.9
21,8.77,91672,120,2010,9.71,Drama,15,3.53
22,2.86,65286,133,2018,253.08,Action,8,3.12
23,8.94,89492,86,2008,162.23,Comedy,5,2.8
24,2.83,22538,101,2022,273.9,Horror,21,2.48
25,4.03,68555,139,2021,344.84,Drama,11,2.64
26,8.98,75281,125,2013,244.91,Comedy,5,2.8
27,5.55,20440,90,2006,497.82,Comedy,17,3.18
28,9.47,49524,150,2022,37.47,Sci-Fi,13,2.85
29,1.84,31448,95,2023,366.31,Horror,11,2.45
30,5.22,27809,167,2006,142.13,Horror,12,2.92
31,3.96,19834,118,2016,495.64,Action,8,2.5
32,8.56,33775,148,2012,331.43,Action,11,3.18
33,7.52,87662,85,2011,64.04,Comedy,9,2.11
34,1.94,93098,176,2011,391.48,Horror,14,3.64
35,6.36,30140,157,2002,115.88,Action,14,3.36
36,7.29,58229,112,2009,151.09,Sci-Fi,11,4.18
37,3.79,32335,109,2021,296.45,Drama,8,2.5
38,8.86,24712,151,2003,461.24,Action,14,3.21
39,9.34,24862,124,2023,234.75,Sci-Fi,10,3.1
40,5.27,66477,124,2000,19.82,Drama,12,3.17
41,1.06,39158,101,2003,321.63,Action,12,2.92
42,3.36,15816,100,2015,385.27,Action,18,2.72
43,5.91,86088,102,2012,123.05,Horror,7,3.57
44,1.45,18008,160,2001,264.4,Comedy,9,3.33
45,1.53,94599,104,2014,112.65,Horror,16,3.62
46,7.67,91008,92,2002,477.3,Action,13,2.46
47,9.96,63782,175,2021,397.34,Action,18,3.44
48,7.57,12482,176,2013,254.76,Sci-Fi,12,3.17
49,7.79,6744,172,2010,167.94,Sci-Fi,14,2.64
50,1.61,98674,177,2011,434.99,Action,12,3.25
51,4.71,26392,95,2018,389.54,Sci-Fi,18,2.78
52,9.5,35105,123,2004,291.62,Action,12,3.08
53,1.0,93204,158,2006,73.02,Comedy,8,3.12
54,7.21,56948,161,2013,220.28,Horror,13,3.85
55,9.79,18604,117,2012,118.49,Comedy,17,2.53
56,7.84,40133,111,2013,406.83,Drama,8,2.38
57,7.56,87413,93,2007,309.2,Action,14,2.5
58,9.73,13304,149,2019,219.19,Horror,6,2.33
59,7.69,99867,104,2012,252.53,Action,6,3.0
60,5.59,7891,162,2009,340.93,Drama,8,3.12
61,2.4,33957,143,2013,167.78,Sci-Fi,13,2.92
62,6.57,4296,88,2009,337.48,Comedy,14,3.0
63,1.1,8094,146,2015,432.69,Action,10,2.9
64,4.12,60444,102,2004,114.31,Horror,11,3.27
65,7.17,91950,129,2008,184.62,Comedy,8,2.5
66,3.4,19875,176,2020,83.72,Action,15,2.87
67,6.61,86508,180,2003,493.47,Comedy,10,2.9
68,5.07,84734,152,2006,413.9,Sci-Fi,12,3.75
69,9.98,70228,143,2020,77.72,Horror,13,3.08
70,3.19,90158,163,2023,183.97,Sci-Fi,12,2.42
71,1.12,66196,149,2018,182.55,Horror,14,2.71
72,2.36,73204,135,2012,70.55,Horror,13,2.38
73,2.77,77415,110,2003,181.86,Comedy,13,2.92
74,3.26,91915,148,2011,169.31,Sci-Fi,15,3.33
75,4.16,47174,153,2009,496.72,Sci-Fi,10,2.5
76,5.78,39297,169,2014,59.12,Horror,14,2.57
77,4.45,89693,103,2025,400.06,Sci-Fi,9,2.67
78,3.55,51420,95,2020,198.44,Horror,15,2.33
79,3.6,58314,106,2008,432.1,Horror,13,2.85
80,9.63,57833,100,2017,116.87,Comedy,10,2.9
81,1.66,99147,101,2005,271.88,Drama,15,3.67
82,1.17,80722,136,2006,204.9,Drama,14,2.71
83,9.0,45454,173,2017,113.02,Sci-Fi,8,2.75
84,4.3,56465,148,2008,47.03,Action,8,2.25
85,2.29,328,123,2008,87.29,Drama,9,2.33
86,8.59,23654,105,2010,341.58,Action,12,3.33
87,8.35,72060,124,2009,181.4,Horror,12,2.83
88,9.53,11883,178,2016,153.49,Action,17,2.76
89,3.22,22791,112,2004,446.59,Horror,11,2.45
90,1.27,40203,160,2009,455.96,Action,14,3.14
91,2.36,32471,100,2025,97.26,Horror,11,2.27
92,7.41,41646,169,2025,190.39,Comedy,10,3.3
93,3.83,80292,156,2015,472.0,Horror,16,3.56
94,6.86,71778,131,2014,490.37,Drama,9,3.11
95,8.2,52317,138,2012,96.37,Sci-Fi,16,2.88
96,7.66,28997,104,2007,134.27,Comedy,11,2.27
97,6.55,43732,143,2003,233.6,Comedy,13,3.08
98,2.96,39667,117,2006,396.76,Drama,16,2.94
99,7.85,46519,122,2019,488.9,Drama,8,3.38
100,9.2,23024,177,2009,4.28,Sci-Fi,12,3.0
101,2.47,93064,80,2001,115.52,Drama,12,2.83
102,5.07,440,83,2010,255.18,Comedy,13,3.0
103,9.8,92693,159,2003,444.24,Horror,15,2.27
104,9.8,2553,110,2017,68.21,Action,7,3.14
105,8.73,76162,147,2021,138.89,Comedy,12,3.42
106,6.46,96903,156,2024,443.8,Action,19,3.16
107,9.07,57679,151,2018,180.76,Comedy,9,3.0
108,3.76,50110,107,2006,308.63,Comedy,15,3.4
109,7.98,92174,136,2005,28.71,Sci-Fi,9,3.67
110,6.9,44047,102,2005,441.28,Sci-Fi,19,2.11
111,1.16,95508,117,2005,451.54,Action,10,2.5
112,8.58,42298,145,2024,255.56,Horror,21,2.71
113,3.3,73085,179,2000,154.46,Sci-Fi,14,3.36
114,1.86,32342,105,2023,4.8,Action,10,3.4
115,1.77,77559,147,2006,365.07,Comedy,19,2.89
116,5.35,71734,87,2018,199.33,Comedy,15,2.27
117,8.26,40757,161,2020,268.46,Action,12,3.58
118,2.66,26085,95,2014,446.75,Comedy,16,2.31
119,5.16,55001,132,2018,449.76,Drama,8,3.5
120,3.19,75376,138,2001,408.56,Sci-Fi,13,2.77
121,9.21,45062,161,2006,330.64,Sci-Fi,9,2.56
122,3.46,36870,132,2011,499.47,Action,15,3.27
123,1.68,78173,93,2017,318.79,Comedy,14,2.43
124,9.14,6101,86,2021,159.1,Drama,14,2.64
125,2.74,84189,180,2014,202.51,Action,12,2.42
126,5.11,24173,158,2001,13.64,Action,12,2.58
127,4.68,85641,101,2025,291.73,Horror,11,3.64
128,1.19,18008,84,2017,488.75,Action,11,2.91
129,4.21,91894,95,2022,469.44,Drama,12,2.83
130,8.9,23520,152,2013,44.64,Sci-Fi,11,3.18
131,9.46,35844,151,2000,314.03,Drama,16,2.69
132,5.7,50657,135,2016,423.62,Comedy,12,2.92
133,7.37,97865,130,2001,262.76,Sci-Fi,13,2.85
134,6.29,50767,134,2010,393.46,Drama,15,3.47
135,2.85,21011,146,2018,17.37,Action,5,1.8
136,3.76,14002,124,2012,209.37,Horror,12,3.17
137,2.34,5619,100,2011,307.38,Drama,9,2.56
138,5.28,94078,145,2023,151.58,Action,13,2.85
139,3.07,12994,107,2016,426.63,Comedy,10,3.9
140,2.0,51404,108,2022,20.28,Horror,14,3.57
141,9.05,6761,112,2016,375.22,Action,9,2.67
142,5.21,45471,129,2018,295.35,Action,14,2.71
143,9.16,86016,98,2024,375.78,Sci-Fi,16,2.62
144,9.05,60297,99,2003,475.81,Horror,20,2.8
145,9.76,30786,108,2012,435.86,Action,15,3.0
146,4.53,69804,119,2022,467.07,Sci-Fi,8,2.12
147,5.83,89198,86,2004,87.22,Drama,12,3.17
148,9.88,81316,167,2016,274.2,Drama,11,3.09
149,7.13,22903,91,2013,199.65,Action,14,3.07
150,4.74,53119,103,2019,138.6,Comedy,12,2.5
151,2.27,67558,150,2021,324.07,Drama,10,3.2
152,4.03,31325,135,2019,81.37,Horror,8,3.5
153,2.83,43032,174,2009,218.68,Horror,16,3.31
154,4.91,10769,138,2010,341.07,Sci-Fi,14,2.5
155,4.39,32376,86,2002,71.63,Drama,13,2.92
156,3.14,53338,84,2001,288.87,Drama,14,2.64
157,8.1,11643,127,2007,155.52,Comedy,10,3.6
158,8.22,4346,107,2002,449.08,Drama,18,3.11
159,8.22,42088,158,2023,52.03,Comedy,8,3.12
160,3.04,35728,99,2006,6.23,Horror,10,3.2
161,8.08,27281,81,2009,478.36,Action,12,3.0
162,4.45,61449,149,2023,235.42,Action,5,3.2
163,8.25,23602,107,2020,307.57,Action,11,3.18
164,9.82,85832,179,2023,426.46,Horror,16,3.0
165,4.6,92185,87,2020,473.9,Sci-Fi,13,2.92
166,2.83,912,139,2004,359.99,Comedy,9,2.56
167,3.62,96326,116,2019,426.05,Drama,15,3.4
168,2.73,83702,100,2023,447.0,Action,11,3.09
169,6.56,46778,162,2015,236.13,Drama,13,2.85
170,9.3,66754,135,2001,186.22,Sci-Fi,16,3.0
171,3.42,10857,137,2002,348.98,Comedy,7,2.29
172,1.33,23479,141,2025,21.85,Sci-Fi,12,2.83
173,3.94,71439,112,2017,139.2,Drama,11,2.0
174,5.67,75593,114,2017,326.12,Horror,17,1.88
175,4.98,70184,97,2005,107.44,Horror,5,2.2
176,4.46,33840,97,2016,37.6,Comedy,23,2.83
177,8.6,1850,133,2016,435.45,Drama,12,2.75
178,5.37,23495,94,2019,424.66,Action,12,3.33
179,2.68,80168,163,2000,15.4,Sci-Fi,13,2.69
180,5.32,6140,96,2010,165.88,Sci-Fi,8,3.12
181,3.8,92597,167,2004,10.55,Sci-Fi,9,3.33
182,3.09,92147,88,2009,434.23,Action,12,3.25
183,2.01,26813,176,2013,32.19,Horror,11,2.64
184,1.6,10118,167,2012,26.61,Horror,15,3.0
185,7.79,89483,140,2002,65.44,Action,9,2.89
186,6.01,77584,104,2014,185.0,Drama,18,2.89
187,5.23,80449,82,2008,142.22,Action,12,2.08
188,5.79,42785,107,2012,229.32,Drama,5,3.0
189,2.47,24141,158,2023,176.27,Comedy,14,3.07
190,4.53,83320,124,2014,369.37,Horror,7,2.43
191,3.28,81673,160,2005,372.45,Sci-Fi,11,2.09
192,4.69,95544,180,2024,146.0,Action,22,2.05
193,3.3,39372,147,2006,128.91,Horror,17,3.06
194,8.8,44337,180,2004,164.3,Action,13,2.0
195,9.01,70167,90,2003,232.83,Comedy,9,3.22
196,4.53,15059,132,2020,7.01,Horror,13,2.85
197,1.45,3644,112,2001,125.16,Horror,16,2.5
