user_id,total_views,average_rating
1,16,2.75
2,10,2.7
3,18,3.17
4,7,2.86
5,8,3.5
6,8,3.25
7,8,3.75
8,13,3.69
9,5,3.8
10,14,2.79
11,18,3.17
12,6,3.67
13,9,3.11
14,15,3.13
15,11,3.36
16,19,2.95
17,10,2.8
18,9,3.11
19,19,2.53
20,11,3.55
21,7,2.86
22,16,2.94
23,16,2.94
24,15,2.8
25,11,3.27
26,6,3.5
27,19,3.0
28,5,3.4
29,14,2.29
30,14,3.07
31,11,2.91
32,11,2.45
33,10,3.3
34,12,2.83
35,7,3.43
36,11,2.27
37,19,3.32
38,17,3.24
39,14,2.79
40,10,3.3
41,6,3.5
42,11,3.55
43,10,3.7
44,17,2.88
45,8,3.12
46,16,2.62
47,19,2.95
48,5,1.2
49,9,3.78
50,18,2.61
51,16,2.69
52,17,2.94
53,9,3.56
54,6,2.5
55,8,3.25
56,10,3.2
57,12,3.42
58,8,2.75
59,19,2.68
60,17,2.41
61,12,3.25
62,9,3.44
63,13,2.77
64,17,2.88
65,8,3.0
66,18,3.0
67,20,3.25
68,12,3.67
69,16,3.94
70,20,3.25
71,5,3.2
72,13,3.46
73,7,2.14
74,12,3.33
75,17,3.18
76,17,3.41
77,7,1.71
78,14,3.14
79,13,2.92
80,12,2.42
81,10,2.6
82,17,2.82
83,17,2.59
84,12,3.08
85,11,3.73
86,12,2.58
87,14,3.57
88,17,3.59
89,17,3.12
90,17,2.59
91,5,3.6
92,14,3.0
93,15,2.93
94,18,2.72
95,20,2.75
96,19,2.68
97,15,3.4
98,5,4.6
99,15,2.47
100,13,3.38
101,12,3.17
102,17,3.0
103,10,3.8
104,18,3.44
105,14,2.86
106,14,3.0
107,10,2.9
108,12,3.5
109,16,3.38
110,10,3.1
111,19,3.21
112,12,3.25
113,20,3.05
114,10,3.3
115,5,2.6
116,17,3.41
117,9,3.56
118,15,2.87
119,18,3.06
120,18,3.5
121,17,3.53
122,9,3.67
123,8,2.62
124,14,3.0
125,19,3.21
126,5,4.2
127,18,2.94
128,9,3.22
129,12,2.83
130,14,3.14
131,17,2.94
132,12,2.5
133,13,2.46
134,15,3.47
135,20,3.1
136,15,3.0
137,15,3.53
138,6,3.67
139,16,2.94
140,15,2.6
141,15,2.6
142,16,3.06
143,8,3.0
144,18,3.0
145,15,2.53
146,14,3.29
147,8,2.38
148,9,2.89
149,9,3.22
150,6,3.0
151,11,2.91
152,9,3.78
153,19,2.84
154,11,3.36
155,6,3.33
156,10,2.3
157,7,2.29
158,20,2.55
159,10,3.2
160,10,3.7
161,5,3.4
162,17,2.65
163,7,2.86
164,17,3.76
165,10,3.0
166,9,2.78
167,7,3.0
168,11,2.91
169,9,2.56
170,8,3.12
171,11,3.09
172,13,2.62
173,15,2.93
174,12,2.58
175,12,2.5
176,20,2.55
177,8,3.5
178,16,3.44
179,15,2.6
180,9,4.11
181,10,3.2
182,9,3.89
183,9,3.56
184,8,3.62
185,6,2.67
186,13,3.31
187,11,2.91
188,15,2.8
189,18,3.11
190,18,3.44
191,8,3.62
192,14,2.64
193,17,2.71
194,6,3.17
195,19,3.32
196,19,3.26
197,15,3.4
198,9,3.11
199,16,3.12
200,10,2.5
201,20,3.05
202,11,2.45
203,8,2.25
204,17,2.71
205,12,3.08
206,18,2.89
207,9,2.67
208,11,3.55
209,15,3.73
210,17,2.35
211,19,3.21
212,12,3.17
213,20,2.8
214,17,3.12
215,8,2.5
216,7,3.29
217,15,2.4
218,18,3.44
219,20,3.2
220,8,3.38
221,6,3.67
222,11,3.18
223,20,3.15
224,13,3.08
225,10,2.4
226,6,3.67
227,5,3.2
228,8,2.88
229,14,3.21
230,15,3.07
231,7,3.57
232,17,2.41
233,18,3.11
234,19,2.32
235,14,3.21
236,15,2.53
237,6,3.0
238,19,2.79
239,15,2.87
240,18,3.22
241,9,3.33
242,11,2.18
243,5,2.0
244,14,3.57
245,7,2.29
246,10,3.1
247,5,3.6
248,15,3.2
249,18,2.61
250,11,3.09
251,11,3.27
252,5,3.2
253,14,2.71
254,17,3.06
255,20,2.25
256,6,4.17
257,7,2.57
258,5,2.4
259,20,2.9
260,15,3.0
261,17,2.59
262,6,2.83
263,5,3.0
264,7,3.29
265,15,3.07
266,16,2.25
267,14,3.36
268,19,3.32
269,20,3.0
270,17,3.18
271,16,2.75
272,6,3.67
273,16,2.81
274,6,3.17
275,15,2.8
276,11,2.09
277,12,3.17
278,18,2.94
279,17,3.41
280,18,3.11
281,6,3.5
282,17,3.06
283,16,2.81
284,13,2.62
285,15,2.4
286,14,2.93
287,17,3.0
288,10,2.7
289,11,3.45
290,14,3.36
291,7,3.14
292,11,2.82
293,7,3.29
294,19,2.74
295,19,3.26
296,14,3.29
297,18,2.94
298,14,2.71
299,17,2.53
300,18,3.06
301,6,3.17
302,5,2.2
303,5,3.2
304,19,3.0
305,7,3.0
306,15,2.67
307,18,3.22
308,16,2.75
309,20,2.55
310,19,3.37
311,12,3.5
312,9,2.89
313,12,2.5
314,9,3.11
315,5,3.8
316,7,2.29
317,16,3.25
318,19,3.37
319,12,3.17
320,11,3.27
321,19,3.42
322,9,2.33
323,8,3.75
324,15,2.8
325,15,2.4
326,14,2.79
327,11,3.55
328,20,3.15
329,18,2.94
330,5,3.8
331,7,3.43
332,17,2.47
333,10,3.0
334,13,3.69
335,5,3.6
336,17,2.94
337,15,3.73
338,20,2.75
339,18,2.94
340,10,3.0
341,7,2.14
342,12,2.5
343,5,3.2
344,16,2.69
345,12,3.42
346,11,2.64
347,12,3.17
348,7,4.0
349,18,2.56
350,10,2.3
351,8,2.88
352,13,3.31
353,13,3.54
354,17,2.53
355,10,3.2
356,16,3.0
357,16,3.06
358,6,2.67
359,17,3.12
360,16,3.06
361,5,3.0
362,18,3.33
363,6,3.83
364,11,3.36
365,18,2.33
366,10,3.3
367,12,3.33
368,18,2.61
369,15,2.87
370,6,3.67
371,6,3.33
372,6,3.17
373,20,2.85
374,5,2.2
375,20,3.25
376,7,3.86
377,17,3.06
378,11,2.36
379,14,2.71
380,15,2.33
381,10,3.5
382,17,3.18
383,13,3.08
384,6,3.0
385,10,3.4
386,5,3.8
387,10,2.7
388,20,3.15
389,9,2.89
390,16,3.12
391,8,2.0
392,10,2.0
393,19,2.79
394,17,2.29
395,15,3.27
396,10,2.1
397,8,3.5
398,14,2.79
399,19,3.0
400,17,3.18
401,5,3.6
402,10,2.9
403,16,3.12
404,19,2.84
405,20,3.1
406,17,3.35
407,17,3.0
408,10,3.4
409,17,3.12
410,10,3.7
411,14,3.64
412,14,2.64
413,6,3.17
414,11,3.09
415,12,2.83
416,8,2.12
417,5,2.4
418,10,2.4
419,15,3.33
420,18,3.17
421,8,3.88
422,9,2.78
423,12,2.83
424,11,2.82
425,15,3.0
426,17,3.41
427,18,3.11
428,12,3.08
429,19,3.16
430,9,3.67
431,16,3.0
432,5,2.2
433,8,2.88
434,6,4.17
435,12,2.75
436,7,3.43
437,15,3.07
438,20,2.75
439,8,3.5
440,14,2.71
441,7,2.43
442,18,3.67
443,8,3.0
444,12,2.83
445,6,3.33
446,9,3.11
447,12,3.33
448,17,3.06
449,11,3.45
450,5,2.0
451,16,3.0
452,10,3.4
453,8,3.62
454,10,3.3
455,18,2.72
456,6,3.0
457,19,3.42
458,19,2.89
459,16,3.19
460,8,2.5
461,5,3.6
462,8,2.25
463,8,4.0
464,15,3.13
465,20,3.05
466,14,3.14
467,17,2.76
468,13,2.69
469,12,3.0
470,17,2.41
471,18,3.17
472,8,2.62
473,11,3.27
474,12,2.83
475,20,2.75
476,19,2.53
477,15,3.33
478,19,2.89
479,11,3.18
480,16,2.75
481,9,2.33
482,6,2.83
483,12,2.75
484,12,2.25
485,12,3.0
486,5,3.6
487,8,2.5
488,19,2.79
489,5,3.4
490,16,3.06
491,20,2.35
492,7,2.71
493,16,2.88
494,19,3.11
495,14,2.79
496,8,2.0
497,8,3.0
498,11,3.18
499,12,3.67
500,14,3.43
501,15,3.33
502,13,3.46
503,17,2.65
504,9,2.44
505,13,2.77
506,6,4.0
507,6,3.0
508,13,2.85
509,13,2.85
510,12,2.75
511,17,2.76
512,5,2.0
513,9,3.11
514,16,2.56
515,8,2.75
516,12,3.08
517,16,2.81
518,11,2.64
519,16,3.19
520,6,2.0
521,15,3.27
522,20,2.9
523,6,2.67
524,12,2.83
525,6,3.5
526,10,3.3
527,5,3.2
528,16,3.0
529,9,3.11
530,20,3.5
531,17,2.71
532,8,3.25
533,19,2.79
534,16,2.94
535,9,2.0
536,7,3.43
537,8,3.12
538,14,3.14
539,15,2.8
540,11,3.36
541,14,3.29
542,14,2.86
543,12,2.83
544,18,2.83
545,9,3.67
546,10,1.8
547,12,3.58
548,13,2.69
549,17,2.47
550,15,2.67
551,16,2.94
552,8,2.0
553,13,3.31
554,13,3.46
555,19,2.79
556,15,2.73
557,11,2.91
558,16,3.06
559,15,2.8
560,6,3.5
561,7,2.43
562,17,3.53
563,5,3.4
564,18,3.0
565,6,2.83
566,6,3.17
567,18,3.22
568,11,2.91
569,5,3.2
570,11,3.36
571,15,2.47
572,16,2.88
573,14,3.0
574,12,3.08
575,12,3.42
576,10,2.6
577,7,2.57
578,5,3.0
579,5,2.6
580,16,3.12
581,15,2.87
582,11,3.27
583,10,3.0
584,16,3.75
585,19,3.05
586,10,3.2
587,10,2.8
588,13,2.92
589,19,3.47
590,9,3.22
591,20,2.95
592,20,2.8
593,6,2.83
594,9,2.22
595,15,2.53
596,20,3.05
597,11,4.18
598,13,2.85
599,13,3.23
600,7,2.71
601,13,3.08
602,6,3.83
603,15,2.87
604,15,2.87
605,16,2.44
606,6,4.17
607,7,3.43
608,11,2.82
609,8,2.25
610,16,3.56
611,9,2.89
612,20,3.1
613,20,2.8
614,13,2.08
615,16,2.69
616,8,3.25
617,5,2.4
618,14,2.5
619,11,2.64
620,8,3.5
621,17,3.0
622,15,2.87
623,7,4.14
624,8,3.62
625,19,3.26
626,18,3.5
627,16,2.88
628,11,2.27
629,18,3.5
630,14,3.36
631,14,2.71
632,19,3.21
633,16,2.81
634,7,3.14
635,6,2.67
636,17,3.06
637,10,2.9
638,20,2.9
639,5,2.8
640,12,3.25
641,10,3.0
642,8,3.62
643,11,2.36
644,18,3.5
645,13,3.31
646,19,2.58
647,20,3.1
648,6,2.83
649,13,3.0
650,7,2.57
651,20,2.4
652,14,2.64
653,18,2.83
654,6,2.67
655,11,3.45
656,11,2.73
657,16,3.12
658,11,3.0
659,13,2.85
660,10,3.6
661,10,3.1
662,13,2.92
663,13,3.85
664,5,2.8
665,6,3.67
666,16,3.62
667,16,3.69
668,9,3.11
669,12,3.33
670,8,3.62
671,17,3.12
672,8,3.5
673,5,3.8
674,7,2.86
675,10,3.5
676,18,2.67
677,8,2.75
678,6,3.83
679,20,2.8
680,16,2.81
681,5,3.2
682,10,3.0
683,5,3.8
684,15,3.4
685,16,3.06
686,20,3.1
687,13,2.62
688,6,2.83
689,12,2.75
690,17,2.82
691,19,2.84
692,9,2.67
693,14,2.79
694,13,3.23
695,5,1.6
696,16,3.06
697,12,3.25
698,10,2.8
699,20,2.95
700,5,3.0
701,17,3.41
702,12,2.5
703,11,3.27
704,10,3.2
705,10,2.9
706,8,2.88
707,7,2.43
708,20,3.25
709,17,3.53
710,17,2.65
711,12,2.5
712,9,2.78
713,11,2.55
714,18,3.28
715,15,3.0
716,14,2.43
717,7,3.14
718,18,2.44
719,11,3.73
720,12,2.83
721,20,3.05
722,17,2.59
723,7,3.43
724,8,3.38
725,11,3.18
726,9,2.89
727,19,3.11
728,5,3.4
729,13,2.85
730,15,2.87
731,14,2.93
732,9,3.33
733,15,3.27
734,18,3.28
735,20,3.45
736,7,2.71
737,18,2.5
738,9,3.11
739,19,3.37
740,16,3.19
741,14,3.07
742,9,2.78
743,18,3.22
744,18,2.33
745,8,3.62
746,7,3.0
747,5,3.6
748,11,3.09
749,9,2.67
750,15,2.87
751,14,3.14
752,15,2.47
753,11,3.64
754,14,3.79
755,12,3.58
756,17,3.76
757,18,3.67
758,20,3.4
759,5,2.8
760,15,2.8
761,5,2.6
762,6,2.67
763,16,2.44
764,20,2.55
765,9,2.33
766,15,3.13
767,20,3.3
768,20,3.25
769,6,3.83
770,7,3.14
771,17,2.82
772,15,3.0
773,17,2.88
774,9,3.11
775,20,2.85
776,8,3.0
777,18,2.89
778,8,3.25
779,13,3.0
780,12,3.58
781,8,3.0
782,19,2.84
783,16,3.44
784,14,2.93
785,14,2.93
786,7,3.43
787,5,2.2
788,5,3.2
789,15,2.93
790,16,2.88
791,15,3.0
792,5,3.4
793,13,2.54
794,17,3.18
795,10,2.9
796,12,3.5
797,20,3.25
798,15,3.53
799,9,2.67
800,19,3.47
801,18,2.67
802,18,2.72
803,12,2.5
804,11,3.64
805,13,3.46
806,13,2.62
807,12,2.5
808,6,3.5
809,7,2.43
810,13,2.77
811,13,2.54
812,5,2.4
813,9,2.67
814,8,2.75
815,20,2.3
816,13,3.46
817,7,2.29
818,16,2.88
819,7,2.86
820,9,3.44
821,17,3.06
822,13,3.08
823,13,3.0
824,8,3.0
825,20,2.95
826,11,3.18
827,13,2.69
828,13,2.08
829,18,3.33
830,16,2.94
831,20,2.75
832,13,3.69
833,7,2.86
834,5,3.0
835,5,2.8
836,18,2.67
837,9,2.22
838,16,3.69
839,20,3.0
840,17,3.47
841,16,2.5
842,15,2.93
843,20,2.45
844,12,2.92
845,20,2.8
846,14,2.71
847,17,3.24
848,6,3.17
849,19,3.16
850,18,3.44
851,6,1.83
852,19,3.05
853,13,3.0
854,19,2.32
855,7,3.29
856,20,3.05
857,7,3.14
858,6,2.83
859,11,3.27
860,11,2.64
861,17,3.12
862,16,2.44
863,13,2.92
864,10,2.5
865,6,2.17
866,15,2.53
867,8,3.0
868,16,3.5
869,20,3.2
870,20,2.85
871,6,2.67
872,12,2.83
873,7,3.0
874,19,3.05
875,7,2.71
876,13,3.08
877,9,3.56
878,12,2.58
879,8,2.88
880,18,3.33
881,6,3.83
882,10,3.3
883,18,3.06
884,16,3.56
885,8,2.62
886,14,3.5
887,8,3.12
888,16,3.12
889,8,2.88
890,11,3.36
891,10,2.8
892,5,2.8
893,19,2.84
894,14,3.5
895,10,3.0
896,5,2.6
897,11,3.36
898,18,2.72
899,9,2.44
900,13,3.0
901,6,2.33
902,17,2.24
903,7,2.14
904,15,2.73
905,20,2.4
906,5,3.6
907,7,3.14
908,13,2.69
909,14,3.21
910,20,3.15
911,10,3.2
912,7,3.0
913,8,3.88
914,20,3.05
915,18,2.83
916,8,2.12
917,10,2.9
918,16,3.0
919,17,3.06
920,16,2.19
921,5,2.4
922,6,1.83
923,14,2.71
924,20,2.85
925,17,2.88
926,15,3.13
927,10,3.1
928,20,2.55
929,16,2.75
930,9,3.33
931,13,3.08
932,5,3.0
933,20,3.0
934,15,3.13
935,7,3.0
936,15,2.8
937,11,2.27
938,17,3.29
939,19,2.89
940,14,1.86
941,12,3.0
942,20,3.35
943,11,2.45
944,9,3.56
945,14,3.14
946,19,3.26
947,17,2.35
